model,param_set,perturbation,cell_r2,cell_l2,cell_mmd,decoder_width,decoder_depth,attribute_nn_width,attribute_nn_depth,n_latent_attribute_categorical,reconstruction_penalty,unknown_attribute_penalty,unknown_attribute_noise_param,attribute_dropout_rate,gene_likelihood,use_batch_norm,use_layer_norm,seed
biolord,69,hesperadin,0.752853243800972,2.3219242,0.19151778092566707,4096,4,2048,2,3,10.0,1.0,0.0,0.1,normal,False,False,42
biolord,70,hesperadin,0.756864470444704,2.5063837,0.2108499203655911,4096,4,2048,2,3,10.0,1.0,0.05,0.1,normal,False,False,42
biolord,71,hesperadin,0.7770816795717124,2.2040513,0.18015901735505685,4096,4,2048,2,3,10.0,1.0,0.1,0.1,normal,False,False,42
biolord,72,hesperadin,0.8117524613948182,2.7700224,0.25408417360279034,4096,4,2048,2,3,10.0,1.0,0.2,0.1,normal,False,False,42
biolord,73,hesperadin,0.7211950328387471,2.267102,0.18722409579920496,4096,4,2048,2,3,10.0,10.0,0.0,0.1,normal,False,False,42
biolord,74,hesperadin,0.7690545622730158,2.458705,0.2039365610163086,4096,4,2048,2,3,10.0,10.0,0.05,0.1,normal,False,False,42
biolord,75,hesperadin,0.8176855950693022,2.4908953,0.2129098590670115,4096,4,2048,2,3,10.0,10.0,0.1,0.1,normal,False,False,42
biolord,76,hesperadin,0.8346872831501184,2.815819,0.25241965799054467,4096,4,2048,2,3,10.0,10.0,0.2,0.1,normal,False,False,42
biolord,77,hesperadin,0.8578689631375687,2.5350738,0.22357758908295522,4096,4,2048,2,3,10.0,100.0,0.0,0.1,normal,False,False,42
biolord,78,hesperadin,0.7904174549706561,2.7186124,0.2323217239649364,4096,4,2048,2,3,10.0,100.0,0.05,0.1,normal,False,False,42
biolord,79,hesperadin,0.85497356630954,2.476454,0.2157724985975912,4096,4,2048,2,3,10.0,100.0,0.1,0.1,normal,False,False,42
biolord,80,hesperadin,0.8141811238370039,2.4994948,0.22808702466386904,4096,4,2048,2,3,10.0,100.0,0.2,0.1,normal,False,False,42
biolord,81,hesperadin,0.5102940439444579,2.9805622,0.08852313458082596,4096,4,2048,2,3,100.0,0.0,0.0,0.1,normal,False,False,42
biolord,82,hesperadin,0.5398567419251092,2.853313,0.08321934698897775,4096,4,2048,2,3,100.0,0.0,0.05,0.1,normal,False,False,42
biolord,83,hesperadin,0.5034994974877778,2.8927417,0.10301494362860562,4096,4,2048,2,3,100.0,0.0,0.1,0.1,normal,False,False,42
biolord,84,hesperadin,0.6068922901427114,2.7184095,0.12924763023708494,4096,4,2048,2,3,100.0,0.0,0.2,0.1,normal,False,False,42
biolord,85,hesperadin,0.35486545340885267,3.1514742,0.10526861136370994,4096,4,2048,2,3,100.0,0.1,0.0,0.1,normal,False,False,42
biolord,86,hesperadin,0.3596938320961669,3.122229,0.10037643097889876,4096,4,2048,2,3,100.0,0.1,0.05,0.1,normal,False,False,42
biolord,87,hesperadin,0.3961308617737019,3.0300658,0.11522910247867715,4096,4,2048,2,3,100.0,0.1,0.1,0.1,normal,False,False,42
biolord,88,hesperadin,0.5845417124782796,2.8982928,0.14284327763208296,4096,4,2048,2,3,100.0,0.1,0.2,0.1,normal,False,False,42
biolord,89,hesperadin,0.38257871497459517,3.0030246,0.08967871992428225,4096,4,2048,2,3,100.0,1.0,0.0,0.1,normal,False,False,42
biolord,90,hesperadin,0.3241861140332936,3.062097,0.08975204716220773,4096,4,2048,2,3,100.0,1.0,0.05,0.1,normal,False,False,42
biolord,91,hesperadin,0.4402071962707697,2.8263211,0.0873131919619887,4096,4,2048,2,3,100.0,1.0,0.1,0.1,normal,False,False,42
biolord,92,hesperadin,0.47681677193288324,2.845608,0.11741078184092146,4096,4,2048,2,3,100.0,1.0,0.2,0.1,normal,False,False,42
biolord,93,hesperadin,0.3409327585134652,3.0566556,0.08422315473273585,4096,4,2048,2,3,100.0,10.0,0.0,0.1,normal,False,False,42
biolord,94,hesperadin,0.4546652861348255,2.8859632,0.0879811459295826,4096,4,2048,2,3,100.0,10.0,0.05,0.1,normal,False,False,42
biolord,95,hesperadin,0.434894390202861,2.894067,0.09074471381110641,4096,4,2048,2,3,100.0,10.0,0.1,0.1,normal,False,False,42
biolord,96,hesperadin,0.5864412159734895,2.7702875,0.10566643635555238,4096,4,2048,2,3,100.0,10.0,0.2,0.1,normal,False,False,42
biolord,97,hesperadin,0.4177514256903683,2.9478521,0.08075045597222992,4096,4,2048,2,3,100.0,100.0,0.0,0.1,normal,False,False,42
biolord,98,hesperadin,0.4087398374345475,2.9017632,0.08156770155015643,4096,4,2048,2,3,100.0,100.0,0.05,0.1,normal,False,False,42
biolord,99,hesperadin,0.346889760769444,3.0225155,0.09050987835608612,4096,4,2048,2,3,100.0,100.0,0.1,0.1,normal,False,False,42
biolord,100,hesperadin,0.5091837657362709,2.8246133,0.11482728803509691,4096,4,2048,2,3,100.0,100.0,0.2,0.1,normal,False,False,42
