model,perturbation,latent_dim,cell_r2,cell_l2,cell_mmd,dataset_name,ood_attribute,test_ood_value
biolord,flavopiridol_hcl,50,4.151796707060844e-05,3.8977506,0.0841482457188091,sciplex3-hvg-top1k_50,,
biolord,givinostat,50,0.1121349739076713,2.9024143,0.0889691623924669,sciplex3-hvg-top1k_50,,
biolord,belinostat,50,0.0275117142938691,4.2991576,0.0855809123731095,sciplex3-hvg-top1k_50,,
biolord,tak_901,50,0.0123838925341054,4.164083,0.0774853128627703,sciplex3-hvg-top1k_50,,
biolord,jnj_26854165,50,0.026300970030369,4.3160567,0.1149319268659076,sciplex3-hvg-top1k_50,,
biolord,hesperadin,50,0.003986337996945,4.258927,0.0771794200915331,sciplex3-hvg-top1k_50,,
biolord,flavopiridol_hcl,50,0.0253004671386166,5.572246,0.1585526533111181,sciplex3-hvg-top1k_50,,
biolord,tanespimycin,50,0.0303306707676772,3.002952,0.0856295809565696,sciplex3-hvg-top1k_50,,
biolord,hesperadin,50,0.0105164635918187,5.4362087,0.1198337964923722,sciplex3-hvg-top1k_50,,
biolord,belinostat,50,0.0275117142938691,4.2991576,0.0855809123731095,sciplex3-hvg-top1k_50,,
biolord,dacinostat,50,0.1050524178260973,4.393085,0.1311454795239796,sciplex3-hvg-top1k_50,,
biolord,givinostat,50,0.1121349739076713,2.9024143,0.0889691623924669,sciplex3-hvg-top1k_50,,
biolord,tanespimycin,50,0.0303306707676772,3.002952,0.0856295809565696,sciplex3-hvg-top1k_50,,
biolord,alvespimycin_hcl,50,0.0570544735515282,3.0947764,0.1027038949203887,sciplex3-hvg-top1k_50,,
biolord,tak_901,50,0.0123838925341054,4.164083,0.0774853128627703,sciplex3-hvg-top1k_50,,
biolord,flavopiridol_hcl,50,4.151796707060844e-05,3.8977506,0.0841482457188091,sciplex3-hvg-top1k_50,,
biolord,flavopiridol_hcl,50,0.0008376306130991,4.132527,0.0981572687639653,sciplex3-hvg-top1k_50,,
